id_venda;data_venda;cliente;email;cidade;uf;produto;categoria;quantidade;preco_unitario;forma_pagamento;status_pedido
v0267;2025-08-08;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0220;2025-08-09;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0173;2025-08-10;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartao Credito;pendente
v0126;2025-08-11;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0079;2025-08-12;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0268;2025-08-15;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0221;2025-08-16;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0174;2025-08-17;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0127;2025-08-18;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0080;2025-08-19;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0033;2025-08-20;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0269;2025-08-22;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0222;2025-08-23;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluído
v0128;2025-08-25;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0081;2025-08-26;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0034;2025-08-27;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0270;2025-08-29;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0223;2025-08-30;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0176;2025-08-31;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0129;2025-09-01;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0082;2025-09-02;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0035;2025-09-03;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0271;2025-09-05;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0224;2025-09-06;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0177;2025-09-07;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0130;2025-09-08;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Cartao Credito;concluído
v0083;2025-09-09;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0036;2025-09-10;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluído
v0272;2025-09-12;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0225;2025-09-13;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0178;2025-09-14;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0131;2025-09-15;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0084;2025-09-16;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0037;2025-09-17;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0273;2025-09-19;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0226;2025-09-20;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0179;2025-09-21;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartão De Débito;cancelado
v0132;2025-09-22;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0085;2025-09-23;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0038;2025-09-24;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0274;2025-09-26;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0227;2025-09-27;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0180;2025-09-28;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0133;2025-09-29;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0086;2025-09-30;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0039;2025-10-01;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0275;2025-10-03;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0228;2025-10-04;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0181;2025-10-05;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0134;2025-10-06;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0087;2025-10-07;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartao Credito;concluído
v0040;2025-10-08;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0276;2025-10-10;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluído
v0229;2025-10-11;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0182;2025-10-12;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluído
v0135;2025-10-13;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluído
v0041;2025-10-15;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0277;2025-10-17;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0230;2025-10-18;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0183;2025-10-19;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0136;2025-10-20;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0089;2025-10-21;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0042;2025-10-22;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0278;2025-10-24;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0231;2025-10-25;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0184;2025-10-26;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0137;2025-10-27;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0090;2025-10-28;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0043;2025-10-29;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0279;2025-10-31;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0232;2025-11-01;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0185;2025-11-02;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0138;2025-11-03;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0091;2025-11-04;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0044;2025-11-05;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Cartao Credito;cancelado
v0186;2025-11-09;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0139;2025-11-10;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartão De Débito;cancelado
v0092;2025-11-11;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0045;2025-11-12;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0281;2025-11-14;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0234;2025-11-15;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0140;2025-11-17;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0093;2025-11-18;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0046;2025-11-19;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0282;2025-11-21;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0235;2025-11-22;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0188;2025-11-23;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0141;2025-11-24;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0047;2025-11-26;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
